user_id	user_name	count	blankcount	v1count	firstedit	firsteditv1	firsteditblank	days_active	mean_date	mean_date_weighted
48796	Ldp	145	0	2	2009-08-13	2010-01-21	NULL	7	2009-10-22	2010-01-13
499832	Alcin Stevenson	6517	0	3033	2011-08-02	2011-08-02	NULL	49	2011-12-02	2011-12-22
594025	Paul-Stevens	6341	1	1741	2012-01-26	2012-01-26	2012-03-13	19	2012-03-05	2012-03-15
1343032	rodenec	4853	0	2672	2013-04-09	2013-04-09	NULL	17	2013-05-19	2013-05-14
223387	Jeremy Schein	7562	27	4041	2010-01-23	2010-01-23	2010-01-23	4	2010-02-10	2010-01-29
1267	Mercator	7914	28	2358	2010-01-21	2010-01-21	2010-01-21	6	2010-01-26	2010-01-24
1363317	dagno	4995	0	3960	2013-04-16	2013-04-16	NULL	20	2013-06-03	2013-05-22
4902	mbuege	8146	85	4560	2010-01-13	2010-01-13	2010-01-16	16	2010-02-19	2010-02-23
594017	Joseph Jephte	5641	0	4321	2012-02-01	2012-02-01	NULL	24	2012-03-08	2012-03-07
1360542	Noel Saint-clair	5248	0	4901	2013-04-15	2013-04-15	NULL	11	2013-05-16	2013-05-21
605084	Aime jonel	6755	5	4032	2012-02-15	2012-02-15	2012-03-20	25	2012-05-17	2012-04-18
593925	Lucine Israel	5302	1	3011	2012-02-03	2012-02-03	2012-03-19	21	2012-03-09	2012-03-18
1342909	Aristilde	5807	0	4833	2013-04-11	2013-04-11	NULL	14	2013-05-22	2013-05-28
1343284	klakey	5775	0	3009	2013-04-09	2013-04-09	NULL	14	2013-05-08	2013-05-19
1381200	byssainthe-2	4930	0	3429	2013-04-22	2013-04-22	NULL	17	2013-06-16	2013-06-23
117927	om3g4	7391	11	5491	2010-01-15	2010-01-15	2010-01-17	11	2010-01-21	2010-01-22
1363364	garcon frantz	5540	0	5119	2013-04-19	2013-04-19	NULL	11	2013-05-15	2013-05-26
1342850	cinalien ferry	7766	4	6317	2013-04-09	2013-04-09	2013-04-12	17	2013-05-15	2013-05-17
219591	JP CASSOU	7729	238	6954	2010-01-15	2010-01-15	2010-01-16	7	2010-01-26	2010-01-17
39504	malenki	7063	0	6814	2010-01-16	2010-01-16	NULL	4	2010-01-21	2010-01-22
44659	Phil Shipley	4936	2	1429	2010-01-15	2010-01-15	2010-01-23	5	2010-01-19	2010-01-18
219187	jgc	7034	46	3610	2010-01-15	2010-01-15	2010-01-16	82	2011-06-23	2011-07-15
1339589	saint jean conslyn	6080	0	4018	2013-04-15	2013-04-15	NULL	14	2013-06-25	2013-06-05
510836	Rub21	7177	102	7086	2012-08-28	2012-08-28	2012-08-28	4	2013-03-25	2012-09-04
1372848	similia joseph	5375	0	4525	2013-04-19	2013-04-19	NULL	14	2013-05-25	2013-06-09
1339707	Elbrenard Dunel	7122	0	6102	2013-04-08	2013-04-08	NULL	16	2013-05-13	2013-05-23
1339826	Adm Rubens	6538	0	5020	2013-04-08	2013-04-08	NULL	19	2013-05-21	2013-05-18
60234	rnaujack	4965	47	2722	2010-01-16	2010-01-16	2010-01-20	5	2010-01-20	2010-01-22
593175	melodieriche	5676	0	4047	2012-01-24	2012-01-24	NULL	20	2012-02-26	2012-02-22
85853	nadaoneal	4861	0	1171	2010-01-30	2010-01-30	NULL	1	2010-01-30	2010-01-30
2444184	Louise Cherlie Duplessy	5026	12	4980	2014-11-25	2014-11-25	2014-12-02	10	2014-12-01	2014-12-01
118021	maggot27	7780	0	7759	2014-08-06	2014-08-06	NULL	5	2014-09-06	2014-08-21
1342986	jean jean baptiste	5609	0	3413	2013-04-09	2013-04-09	NULL	14	2013-05-09	2013-05-17
1343098	mayuma	5104	0	4124	2013-04-09	2013-04-09	NULL	18	2013-05-24	2013-06-02
98876	rsoden	6555	0	48	2010-03-26	2010-03-26	NULL	10	2010-09-20	2010-11-10
17306	tpstigers	5360	0	2937	2010-01-17	2010-01-17	NULL	8	2010-01-20	2010-01-19
387386	Anne Leschallier	6273	0	6265	2014-07-28	2014-07-28	NULL	6	2014-08-03	2014-08-04
139957	ij_	6452	100	6115	2010-01-15	2010-01-15	2010-01-18	6	2010-01-21	2010-01-20
77114	LLAQWA	4783	47	3931	2010-01-20	2010-01-20	2010-01-20	6	2011-08-29	2010-01-29
28748	frief	5446	112	5261	2010-01-20	2010-01-20	2010-01-31	20	2010-05-13	2010-05-20
1251168	agbrad	5869	4	4060	2013-09-25	2013-09-25	2013-09-26	3	2013-09-26	2013-09-26
587569	sylvioynouis	6566	0	4719	2012-01-22	2012-01-22	NULL	22	2012-02-16	2012-02-17
2203318	Mylène Garin	5234	0	5226	2014-08-16	2014-08-16	NULL	1	2014-08-16	2014-08-16
1339560	westner	6811	0	5888	2013-04-08	2013-04-08	NULL	13	2013-05-14	2013-05-24
1342827	fricotfils	1325	0	915	2013-04-09	2013-04-09	NULL	10	2013-05-05	2013-05-11
1529590	oracius	12	0	12	2013-06-08	2013-06-08	NULL	1	2013-06-08	2013-06-08
399636	jplisinski	9	0	6	2011-01-24	2011-01-24	NULL	1	2011-01-24	2011-01-24
297482	don-vip	3	0	0	2011-06-03	NULL	NULL	1	2011-06-03	2011-06-03
237386	stevesethi	3	0	2	2010-11-06	2010-11-06	NULL	1	2010-11-06	2010-11-06
223988	Bijbo	3	0	0	2010-01-24	NULL	NULL	1	2010-01-24	2010-01-24
7702	milovanderlinden	4	0	0	2014-08-09	NULL	NULL	1	2014-08-09	2014-08-09
1403040	Lianne Lavoie	3	0	0	2013-11-25	NULL	NULL	1	2013-11-25	2013-11-25
1860363	PierreBou	3	0	0	2014-01-01	NULL	NULL	1	2014-01-01	2014-01-01
190168	audebot	3	0	2	2010-01-23	2010-01-23	NULL	1	2010-01-23	2010-01-23
11006	Christopher Gittner	3	0	0	2013-02-17	NULL	NULL	1	2013-02-17	2013-02-17
225584	kenchoihm2	3	0	0	2010-01-27	NULL	NULL	1	2010-01-27	2010-01-27
8909	mvexel	4	0	0	2013-01-26	NULL	NULL	2	2013-06-19	2013-04-08
236651	Sanjak	3	0	0	2014-02-04	NULL	NULL	2	2014-02-07	2014-02-06
